updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600281,sh.600281,华阳新材,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600282,sh.600282,南钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600283,sh.600283,钱江水利,D46水的生产和供应业,证监会行业分类
2026-06-22,SH600284,sh.600284,浦东建设,E48土木工程建筑业,证监会行业分类
2026-06-22,SH600285,sh.600285,羚锐制药,C27医药制造业,证监会行业分类
2026-06-22,SH600286,sh.600286,S*ST国瓷,,证监会行业分类
2026-06-22,SH600287,sh.600287,苏豪时尚,F51批发业,证监会行业分类
2026-06-22,SH600288,sh.600288,大恒科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600289,sh.600289,ST信通,I65软件和信息技术服务业,证监会行业分类
2026-06-22,SH600290,sh.600290,*ST华仪,,证监会行业分类
2026-06-22,SH600291,sh.600291,退市西水,,证监会行业分类
2026-06-22,SH600292,sh.600292,电投水电,N77生态保护和环境治理业,证监会行业分类
2026-06-22,SH600293,sh.600293,三峡新材,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600295,sh.600295,鄂尔多斯,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600296,sh.600296,S兰铝,,证监会行业分类
2026-06-22,SH600297,sh.600297,广汇汽车,,证监会行业分类
2026-06-22,SH600298,sh.600298,安琪酵母,C14食品制造业,证监会行业分类
2026-06-22,SH600299,sh.600299,安迪苏,C14食品制造业,证监会行业分类
2026-06-22,SH600300,sh.600300,维维股份,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600301,sh.600301,华锡有色,B09有色金属矿采选业,证监会行业分类
2026-06-22,SH600302,sh.600302,ST标准,C35专用设备制造业,证监会行业分类
2026-06-22,SH600303,sh.600303,曙光股份,C36汽车制造业,证监会行业分类
2026-06-22,SH600305,sh.600305,恒顺醋业,C14食品制造业,证监会行业分类
2026-06-22,SH600306,sh.600306,退市商城,,证监会行业分类
2026-06-22,SH600307,sh.600307,酒钢宏兴,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600308,sh.600308,华泰股份,C22造纸和纸制品业,证监会行业分类
2026-06-22,SH600309,sh.600309,万华化学,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600310,sh.600310,广西能源,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600311,sh.600311,*ST荣华,,证监会行业分类
2026-06-22,SH600312,sh.600312,平高电气,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600313,sh.600313,农发种业,F51批发业,证监会行业分类
2026-06-22,SH600315,sh.600315,上海家化,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600316,sh.600316,洪都航空,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
